,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14
0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,6,7,7,7,6,7,13,13
2,2,2,4,5,5,5,5,5,5,7,10,7,7
3,2,2,4,2,2,2,2,2,2,2,2,2,14
4,0,0,0,0,0,7,7,7,10,0,0,0,14
5,2,2,4,2,6,7,7,7,10,7,10,7,7
6,0,0,0,5,4,6,7,7,7,10,7,13,2
7,0,2,4,2,2,4,4,4,4,4,4,4,4
8,2,2,4,2,2,4,4,4,4,4,4,4,14
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,2,0,0,0,6,7,7,7,7,11,11,11,11
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,6,7,7,7,7,11,11,11,11
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0,2,0,0,6,7,6,6,6,6,12,12,12
15,2,2,2,4,6,6,6,6,6,6,6,6,6
16,2,2,2,4,4,6,8,8,8,8,8,8,8
17,2,2,2,4,6,6,8,6,8,8,12,12,12
18,2,2,2,4,4,6,8,8,8,8,8,8,8
19,0,0,0,5,2,2,2,2,2,2,2,2,2
20,0,3,3,5,5,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0,3,3,5,5,5,5,5,5,5,5,5,5
23,0,0,4,3,4,4,4,4,4,4,4,4,4
24,2,2,2,4,4,6,8,8,8,8,8,8,8
25,2,2,4,2,2,2,2,2,2,7,10,7,14
26,2,2,2,4,6,7,6,6,6,6,6,6,6
27,2,2,4,2,2,2,2,2,2,2,2,2,2
28,2,2,4,1,1,2,1,2,2,7,10,7,7
29,0,3,3,3,3,3,3,9,9,9,9,13,13
30,2,2,4,2,2,2,2,2,2,2,2,2,14
31,2,3,3,5,5,5,5,5,5,5,5,5,5
32,2,2,3,5,5,5,5,5,5,5,5,5,5
33,2,2,4,2,2,4,4,4,4,4,4,4,14
34,0,3,3,3,3,3,3,3,3,3,3,3,3
35,1,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0,0,0,0,0,0,0,0,10,10,7,10,10
38,0,0,0,0,0,0,0,0,10,10,7,10,10
39,2,2,2,4,4,6,8,8,8,8,8,8,8
40,0,3,3,3,3,3,3,3,3,3,3,3,3
41,0,0,0,0,0,3,3,3,3,3,3,3,3
42,0,3,3,3,3,3,3,3,3,3,3,3,3
43,0,0,0,0,6,7,7,7,7,10,12,13,13
44,0,3,3,3,3,3,3,3,3,3,3,3,3
45,2,2,2,0,6,7,6,6,6,6,6,6,6
46,2,2,2,4,6,6,8,8,8,8,8,8,8
47,0,0,0,0,0,3,3,9,9,9,9,13,13
48,0,0,0,0,0,4,4,4,4,10,9,9,9
49,0,3,3,3,3,4,4,4,4,4,4,4,4
50,0,3,3,3,3,4,4,4,4,4,4,4,4
51,0,0,0,0,0,0,0,0,0,0,12,12,12
52,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0,3,3,3,3,7,4,9,9,9,9,9,4
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
