,Cluster 2,Cluster 3,Cluster 4,Cluster 5
0,1,3,3,3
1,99,99,99,99
2,99,99,99,99
3,1,1,1,1
4,1,3,3,3
5,1,1,4,4
6,1,3,3,3
7,0,3,3,3
8,99,99,99,99
9,1,1,1,1
10,1,1,1,4
11,99,99,99,99
12,2,1,4,4
13,1,2,1,1
14,2,2,2,5
15,99,99,99,99
16,2,2,2,5
17,99,99,99,99
18,2,2,3,5
19,2,3,2,5
20,99,99,99,99
21,2,2,2,5
22,99,99,99,99
23,1,1,1,1
24,99,99,99,99
25,99,99,99,99
26,2,2,2,5
27,2,2,2,2
28,2,2,2,2
29,2,2,2,2
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,1,1,1
34,99,99,99,99
35,2,3,3,5
36,99,99,99,99
37,99,99,99,99
38,2,2,2,2
39,99,99,99,99
40,2,2,2,2
41,99,99,99,99
42,99,99,99,99
43,1,1,1,1
44,99,99,99,99
45,99,99,99,99
46,99,99,99,99
47,99,99,99,99
48,99,99,99,99
49,2,2,2,2
50,2,2,2,2
51,2,2,2,5
52,2,2,2,5
53,1,1,1,1
54,99,99,99,99
55,99,99,99,99
