,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,
0,2,2,2,5,5,0,
1,2,2,3,5,5,0,
2,1,3,4,4,4,0,
3,2,3,3,3,3,2,
4,1,1,1,1,1,0,
5,1,1,1,1,1,0,
6,1,1,1,1,1,0,
7,1,1,1,1,1,0,
8,1,1,1,1,1,0,
9,1,1,1,1,1,0,
10,1,1,1,1,1,0,
11,1,1,1,1,1,0,
12,1,1,1,1,1,0,
13,1,1,1,1,1,0,
14,1,1,1,1,1,0,
15,1,1,1,1,1,0,
16,1,1,1,1,1,0,
17,1,1,1,1,1,0,
18,1,1,1,1,1,0,
19,1,1,1,1,1,0,
20,1,1,1,1,1,0,
21,1,1,1,1,1,0,
22,1,1,1,1,1,0,
23,1,1,1,1,1,0,
24,1,3,3,3,3,2,
25,2,3,3,3,3,0,
26,0,0,4,0,6,0,
27,2,2,2,2,2,1,
28,2,2,2,2,2,1,
29,2,2,2,2,2,1,
30,1,3,3,3,3,2,
31,2,2,2,2,2,1,
32,2,2,2,2,2,1,
33,2,2,2,2,2,1,
34,2,2,2,2,2,1,
35,2,2,4,4,4,2,
36,2,2,2,2,2,1,
37,1,3,3,3,3,2,
38,2,2,2,2,2,1,
39,2,2,2,2,2,1,
40,1,2,2,2,6,1,
41,2,2,2,2,2,1,
42,2,2,2,2,2,1,
43,1,1,4,4,6,2,
44,2,2,2,2,2,1,
45,2,2,2,2,2,1,
46,1,3,3,3,3,2,
47,2,2,2,2,2,1,
48,2,2,2,2,2,1,
49,1,3,3,3,3,2,
50,0,0,4,4,4,2,
51,1,3,3,3,3,2,
52,1,1,1,1,4,0,
53,1,1,1,5,6,2,
54,99,99,99,99,99,99,
55,99,99,99,99,99,99,
Modularity,0.19927071988153738,0.28223821666218796,0.2969932251118571,0.30710040904108005,0.2994351240522899,0.3226048824779628,
NMI,0.36487489305130921,0.55562928273251289,0.65092867154395539,0.74090404511080798,0.6808852652222892,1.0,
Silhoutte,0.17816637,0.34274057,0.4078593,0.46214907,0.45226869,0.41961898,
