,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
0,1,1,1,1,1
1,1,3,3,3,6
2,1,1,1,1,1
3,1,3,4,4,4
4,1,1,1,1,1
5,1,1,1,1,1
6,0,3,0,0,6
7,0,0,0,5,5
8,0,0,0,5,5
9,1,3,4,4,4
10,2,2,4,4,4
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,4,4,4
14,1,2,4,4,4
15,0,1,2,1,1
16,1,3,3,3,3
17,0,3,3,3,3
18,0,3,3,3,3
19,0,3,2,5,3
20,1,3,3,3,3
21,0,3,3,3,2
22,99,99,99,99,99
23,1,1,4,4,4
24,1,3,3,3,3
25,99,99,99,99,99
26,0,1,2,2,2
27,1,1,1,1,1
28,2,2,2,2,2
29,2,2,2,2,2
30,2,2,2,2,2
31,1,1,1,1,1
32,2,2,2,2,2
33,2,2,2,2,2
34,1,3,3,3,3
35,1,1,1,1,1
36,1,3,3,3,3
37,1,1,3,3,3
38,2,2,2,2,2
39,1,3,3,3,3
40,2,2,2,2,2
41,2,2,2,2,2
42,99,99,99,99,99
43,2,2,2,2,2
44,2,2,2,2,2
45,99,99,99,99,99
46,99,99,99,99,99
47,99,99,99,99,99
48,99,99,99,99,99
49,2,2,2,2,2
50,2,2,2,2,2
51,1,1,1,1,1
52,1,1,1,1,1
53,1,3,3,3,3
54,99,99,99,99,99
55,99,99,99,99,99
