,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Louvain,LPA
0,1,1,1,1,1,0,0
1,1,3,3,3,6,4,1
2,1,1,1,1,1,0,2
3,1,3,4,4,4,1,3
4,1,1,1,1,1,0,0
5,1,1,1,1,1,0,2
6,0,3,0,0,6,4,4
7,0,0,0,5,5,4,5
8,0,0,0,5,5,4,5
9,1,3,4,4,4,1,3
10,2,2,4,4,4,1,3
11,1,1,1,1,1,0,2
12,1,1,1,1,1,0,2
13,1,1,4,4,4,1,3
14,1,2,4,4,4,1,3
15,0,1,2,1,1,4,4
16,1,3,3,3,3,4,1
17,0,3,3,3,3,4,1
18,0,3,3,3,3,4,4
19,0,3,2,5,3,4,4
20,1,3,3,3,3,4,1
21,0,3,3,3,2,4,4
22,99,99,99,99,99,99,99
23,1,1,4,4,4,1,3
24,1,3,3,3,3,4,1
25,99,99,99,99,99,99,99
26,0,1,2,2,2,4,4
27,1,1,1,1,1,0,0
28,2,2,2,2,2,5,6
29,2,2,2,2,2,5,6
30,2,2,2,2,2,5,6
31,1,1,1,1,1,0,7
32,2,2,2,2,2,5,7
33,2,2,2,2,2,5,6
34,1,3,3,3,3,4,1
35,1,1,1,1,1,0,0
36,1,3,3,3,3,4,1
37,1,1,3,3,3,0,2
38,2,2,2,2,2,5,6
39,1,3,3,3,3,4,1
40,2,2,2,2,2,5,6
41,2,2,2,2,2,5,6
42,99,99,99,99,99,99,99
43,2,2,2,2,2,5,6
44,2,2,2,2,2,5,6
45,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99
49,2,2,2,2,2,5,6
50,2,2,2,2,2,5,6
51,1,1,1,1,1,0,2
52,1,1,1,1,1,0,0
53,1,3,3,3,3,4,1
54,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99
Modularity,0.12311518826686851,0.12500025232796397,0.17564050535877349,0.17261201642150506,0.16804447554247226,0.20480536482710793,0.14879660965327793
NMI,0.60529426153354438,0.65030295698201035,0.7780161052799861,0.76549996033205869,0.73241719639929215,1.0,0.80646471975048317
