,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
0,0,3,4,3,3,3,3,3,3,3,3
1,0,0,3,5,5,7,7,7,7,7,7
2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2
4,0,3,4,4,3,3,3,3,3,3,3
5,2,3,3,4,4,7,7,9,9,9,9
6,1,3,3,4,4,7,7,7,7,7,7
7,0,3,3,4,4,7,7,7,7,7,7
8,0,2,2,5,5,6,6,6,10,10,10
9,0,0,0,0,3,6,6,6,6,6,6
10,2,3,3,4,4,7,7,9,9,9,9
11,2,3,3,4,4,7,7,9,9,9,9
12,1,3,3,4,4,7,7,7,7,7,7
13,0,0,3,0,4,6,6,6,6,6,6
14,1,1,1,1,1,1,1,1,1,1,12
15,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1
23,2,2,4,3,3,6,6,6,6,6,6
24,0,0,3,4,4,0,0,9,9,9,9
25,1,1,1,1,1,1,1,1,1,1,12
26,0,0,4,5,6,4,8,8,8,8,8
27,2,2,4,4,6,7,7,9,9,11,11
28,2,2,4,3,6,4,4,4,4,4,4
29,1,1,4,3,6,4,4,4,4,4,4
30,2,2,2,2,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,2,2,2
34,1,3,4,3,6,4,4,4,4,4,4
35,0,3,4,3,3,3,3,3,3,3,3
36,0,1,0,5,5,6,6,6,10,10,10
37,0,0,3,5,5,6,8,8,8,8,12
38,1,3,4,3,6,4,4,4,4,4,4
39,2,3,0,5,6,6,6,6,10,4,4
40,1,3,4,4,6,5,5,5,5,5,5
41,0,0,0,5,5,5,5,5,5,5,5
42,0,0,0,5,5,5,5,5,5,5,5
43,2,3,4,5,5,5,5,5,5,5,5
44,1,3,4,3,6,4,4,4,4,4,4
45,2,3,0,5,5,6,6,6,10,10,10
46,1,3,4,3,6,4,4,7,6,4,4
47,2,3,3,5,5,6,6,6,10,10,10
48,0,1,1,1,0,3,3,3,0,11,11
49,1,3,4,3,6,4,4,4,4,4,4
50,1,3,4,3,6,4,4,4,4,4,4
51,1,3,4,3,6,4,8,8,8,8,8
52,0,0,3,4,0,3,8,9,9,9,9
53,1,3,4,5,6,6,6,6,6,10,6
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
