,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,
0,2,3,3,3,2,
1,99,99,99,99,99,
2,99,99,99,99,99,
3,2,2,2,2,9,
4,2,3,3,3,2,
5,2,2,4,4,2,
6,2,3,3,3,2,
7,0,3,3,3,2,
8,99,99,99,99,99,
9,2,2,2,2,9,
10,2,2,4,4,9,
11,99,99,99,99,99,
12,2,2,4,4,12,
13,1,1,2,5,12,
14,1,1,1,5,12,
15,99,99,99,99,99,
16,1,1,1,5,12,
17,99,99,99,99,99,
18,1,1,1,5,12,
19,1,1,1,5,12,
20,99,99,99,99,99,
21,1,1,1,5,12,
22,99,99,99,99,99,
23,2,2,2,2,9,
24,99,99,99,99,99,
25,99,99,99,99,99,
26,1,1,1,5,12,
27,1,1,1,1,13,
28,1,1,1,1,13,
29,1,1,1,1,13,
30,2,2,2,2,9,
31,2,2,2,2,9,
32,2,2,2,2,9,
33,2,2,2,2,9,
34,99,99,99,99,99,
35,1,2,3,5,2,
36,99,99,99,99,99,
37,99,99,99,99,99,
38,1,1,1,1,13,
39,99,99,99,99,99,
40,1,1,1,1,13,
41,99,99,99,99,99,
42,99,99,99,99,99,
43,2,2,2,2,9,
44,99,99,99,99,99,
45,99,99,99,99,99,
46,99,99,99,99,99,
47,99,99,99,99,99,
48,99,99,99,99,99,
49,1,1,1,1,13,
50,1,1,1,1,13,
51,1,1,1,5,13,
52,1,1,1,5,13,
53,2,2,2,2,9,
54,99,99,99,99,99,
55,99,99,99,99,99,
Modularity,0.033397706886816925,0.05863292195761878,0.06186157268620077,0.0812792724963246,0.12045659798559549,
NMI,0.53008705960982261,0.66388140473055102,0.66830317367980729,0.7119034294314136,1.0,
Silhoutte,0.43206749,0.5486766,0.5122158,0.58919705,0.64910327,
