,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,2,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,4,3,3,8,8,8,8,9,9
2,0,3,3,3,3,3,3,3,3,3,3,3
3,2,3,4,3,6,6,6,6,9,6,6,6
4,2,3,3,3,3,3,3,3,3,3,3,3
5,1,1,1,1,1,1,1,1,1,1,1,1
6,0,3,3,5,5,5,5,5,5,5,5,13
7,0,0,4,4,4,4,4,4,10,11,11,4
8,1,1,4,4,4,4,4,4,4,4,4,4
9,2,3,3,3,6,6,3,9,9,6,6,6
10,1,3,3,3,3,3,3,3,3,3,3,3
11,1,1,4,4,4,4,4,4,4,4,4,4
12,1,1,1,3,4,4,4,4,4,4,4,4
13,2,2,2,2,2,2,2,8,8,9,8,2
14,2,2,2,3,1,1,1,1,1,1,1,1
15,2,2,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2,8,2
17,2,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2,2
20,0,2,4,4,4,7,7,7,7,7,7,7
21,2,2,2,2,2,2,2,2,2,2,2,13
22,2,2,2,2,2,2,2,2,2,2,2,2
23,0,0,0,0,6,6,8,8,8,6,12,12
24,2,3,3,3,3,6,3,9,9,6,6,6
25,1,1,4,4,4,4,4,4,4,4,4,4
26,2,2,2,2,2,2,8,8,8,8,9,2
27,1,1,1,1,4,4,4,4,4,4,4,8
28,0,3,3,5,5,5,5,5,5,5,5,5
29,1,3,3,5,5,5,5,5,5,5,5,5
30,0,3,3,5,5,5,5,5,5,5,5,5
31,0,0,4,4,6,7,7,7,7,7,7,7
32,0,0,0,0,2,3,6,6,6,10,10,8
33,0,3,4,4,6,7,7,7,7,7,7,7
34,1,1,1,1,4,4,4,4,4,4,4,4
35,2,3,3,3,3,3,3,3,3,3,3,3
36,1,1,4,4,4,4,4,4,4,4,4,4
37,2,3,1,3,6,6,3,9,9,6,6,6
38,0,3,3,5,5,5,5,5,5,5,5,5
39,0,0,4,5,5,7,7,7,7,7,7,7
40,1,1,3,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,4,8,4,4,4,4,10
42,2,0,3,1,1,1,1,1,1,1,1,1
43,2,3,1,5,5,5,5,5,5,5,5,5
44,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,10
46,2,3,4,3,6,6,6,6,9,6,6,6
47,0,0,0,0,0,0,6,6,0,11,11,11
48,1,1,1,1,4,4,8,4,4,4,4,10
49,1,1,1,1,4,4,4,4,4,1,1,10
50,0,0,3,5,5,5,5,5,5,5,5,5
51,1,1,1,4,4,4,8,4,4,8,4,10
52,2,3,3,3,6,7,7,7,7,7,7,7
53,1,1,1,1,4,4,4,4,4,4,4,10
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
