,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,3,3,3,6,6,6,6,6,0,
1,0,0,3,4,6,7,7,7,7,2,
2,0,3,3,0,6,6,6,6,6,0,
3,0,3,4,3,3,3,3,3,3,2,
4,0,3,3,3,6,6,6,6,6,0,
5,2,2,2,4,4,4,4,4,4,1,
6,1,3,3,4,6,7,7,7,7,2,
7,0,3,3,4,6,7,7,7,7,2,
8,0,0,3,4,6,6,8,8,8,2,
9,1,3,4,5,5,5,5,5,5,1,
10,1,3,3,5,4,4,4,4,4,1,
11,1,1,1,1,4,4,4,4,4,1,
12,1,1,1,4,4,4,4,4,4,1,
13,0,3,4,5,3,3,2,2,10,1,
14,2,2,2,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,2,2,2,1,
16,1,1,1,1,1,1,1,1,1,3,
17,2,2,2,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,2,2,2,1,
22,2,2,2,2,2,2,2,2,2,1,
23,0,3,4,5,5,5,5,5,5,1,
24,0,3,4,5,5,5,5,5,5,1,
25,2,2,2,2,4,4,4,2,2,1,
26,2,2,2,2,2,2,2,2,10,1,
27,2,2,2,3,3,3,3,9,9,2,
28,1,1,3,3,3,3,3,3,3,2,
29,1,1,1,1,1,1,1,1,1,3,
30,2,3,4,3,3,3,3,9,9,2,
31,1,1,1,1,1,1,1,1,1,3,
32,2,3,4,3,3,3,3,3,3,2,
33,2,3,3,3,3,3,3,3,3,2,
34,2,3,4,3,3,3,3,3,3,2,
35,1,3,3,3,6,6,6,6,6,0,
36,1,1,4,4,6,6,8,8,8,3,
37,1,1,1,1,1,1,1,1,1,3,
38,1,1,1,1,1,1,1,1,1,3,
39,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,1,3,
41,1,1,1,1,1,1,1,1,1,3,
42,1,1,1,1,1,1,1,1,1,3,
43,0,0,4,5,5,5,5,5,5,1,
44,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,10,1,
46,1,1,1,1,1,1,1,1,1,3,
47,1,1,1,1,1,1,1,1,1,3,
48,1,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.12744655816991943,0.17201525312560767,0.16474861552373485,0.1824992360393354,0.1853665910903404,0.1850214104623924,0.18856937311623026,0.18663338000302668,0.17809188051989266,0.21040733885024684,
NMI,0.35993633901974847,0.48339982521877556,0.51582292652610395,0.63713455338307357,0.66782347744977077,0.69077974370423134,0.76168196259005927,0.74915288277008951,0.769549072860367,1.0,
Silhoutte,0.11354978,0.15506095,0.1583759,0.20121694,0.20802465,0.23671273,0.24100439,0.25617695,0.25670475,0.1877931,
