,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,LPA
0,0,3,3,3,3,3,3,3,0
1,0,3,3,3,3,3,3,3,0
2,0,3,3,3,3,3,3,3,0
3,0,3,4,5,5,4,8,2,1
4,0,3,4,3,3,3,3,3,0
5,0,3,3,3,3,3,3,3,0
6,0,3,0,0,6,6,8,3,2
7,1,3,1,4,6,6,8,3,2
8,1,1,1,1,1,1,1,5,2
9,1,1,4,3,4,4,8,2,3
10,0,3,3,4,6,6,6,3,2
11,1,1,1,1,1,1,1,5,4
12,2,3,3,4,6,6,6,3,2
13,0,0,4,3,3,4,8,2,3
14,1,3,4,3,4,4,8,2,3
15,2,2,2,2,2,2,2,0,5
16,2,2,2,2,2,2,2,0,6
17,2,2,2,2,2,2,2,0,5
18,2,2,2,2,2,2,2,0,5
19,2,2,2,2,2,2,2,0,6
20,2,2,2,2,2,2,2,0,5
21,2,2,2,2,2,2,2,0,5
22,99,99,99,99,99,99,99,99,99
23,0,3,4,3,3,7,8,2,3
24,0,3,4,5,5,7,7,2,1
25,1,1,3,5,5,5,5,3,7
26,0,3,4,5,5,7,7,2,1
27,1,1,1,2,2,2,2,0,6
28,1,1,1,1,1,1,1,5,4
29,1,1,1,1,1,1,1,5,4
30,1,0,3,5,5,5,5,3,7
31,0,0,4,4,4,3,3,2,3
32,1,1,1,1,1,5,5,5,7
33,1,1,1,1,1,1,1,5,4
34,1,1,1,1,1,5,5,5,7
35,1,3,4,3,3,3,3,3,0
36,1,1,1,1,1,1,1,5,4
37,1,1,1,1,1,1,1,5,0
38,1,1,1,1,1,1,1,5,4
39,1,1,1,1,1,1,1,5,4
40,2,0,3,4,4,4,4,4,8
41,2,3,3,4,4,4,4,4,8
42,2,3,3,4,4,4,4,4,8
43,1,1,1,1,1,1,1,5,4
44,1,1,1,1,1,1,1,5,4
45,99,99,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,1,5,4
50,1,1,1,1,1,1,1,5,4
51,1,1,1,1,1,1,1,5,4
52,1,1,1,1,1,1,1,5,4
53,1,1,1,1,1,1,1,5,4
54,1,1,1,1,1,1,1,5,4
55,99,99,99,99,99,99,99,99,99
Modularity,0.12480240886348667,0.1282805306164373,0.15173967618149073,0.14957434552536494,0.1519858792211175,0.1541590547304029,0.15370140215458913,0.17431407248284597,0.135124588652553
NMI,0.53901233175624852,0.6222303057070776,0.75904958156657276,0.74113702581026608,0.7899659142205564,0.77750979958314448,0.77291550001126008,1.0,0.75412664186725764
