,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,
0,0,0,0,5,5,5,5,5,0,
1,1,2,3,3,6,6,6,6,0,
2,2,2,2,2,2,6,6,2,0,
3,2,2,2,2,2,2,2,2,0,
4,0,0,0,5,5,5,5,5,0,
5,2,2,2,2,2,2,2,2,0,
6,1,2,2,2,6,6,6,6,0,
7,2,2,2,2,6,6,6,6,0,
8,0,0,0,0,4,7,8,8,3,
9,0,0,0,0,0,6,6,9,1,
10,2,2,2,2,2,2,2,2,0,
11,2,2,2,2,2,2,2,2,0,
12,2,3,3,3,3,3,3,3,1,
13,2,2,2,2,2,2,2,2,0,
14,2,3,3,3,3,3,3,3,1,
15,2,3,3,3,3,3,3,3,1,
16,1,1,1,1,1,1,1,1,3,
17,2,3,3,3,3,3,3,3,1,
18,2,3,3,3,3,3,3,3,1,
19,2,3,3,3,3,3,3,3,1,
20,2,3,3,3,3,3,3,3,1,
21,2,3,3,3,3,3,3,3,1,
22,2,3,3,3,3,3,3,3,1,
23,2,0,4,4,4,4,4,4,1,
24,2,3,4,4,4,4,4,4,1,
25,2,3,3,3,3,3,3,3,1,
26,2,3,3,3,3,3,3,3,1,
27,1,1,1,1,1,1,1,1,3,
28,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,3,
30,2,2,2,2,2,2,2,2,0,
31,2,2,2,2,2,2,2,2,0,
32,2,2,2,2,2,2,2,2,0,
33,2,2,2,2,2,2,2,2,0,
34,99,99,99,99,99,99,99,99,99,
35,1,1,1,5,1,5,1,1,3,
36,1,1,1,1,1,1,8,8,3,
37,2,3,4,4,6,7,7,7,3,
38,2,2,4,4,6,7,7,7,3,
39,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,3,
41,0,0,4,4,4,4,4,9,1,
42,1,1,1,1,1,1,1,1,3,
43,0,0,4,4,4,4,4,4,1,
44,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,3,
47,2,3,4,4,6,7,7,7,3,
48,1,1,1,1,1,1,1,1,3,
49,1,1,1,1,1,1,1,1,3,
50,1,1,1,1,1,1,1,1,3,
51,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,
Modularity,0.11188469655741123,0.13334642023698523,0.137939359240289,0.13469081104181863,0.13623331270142575,0.13026064498897227,0.1319770193152849,0.13282767653674585,0.16139755597336308,
NMI,0.34997059018443438,0.64891097921422758,0.66639602947681587,0.65985618839606863,0.71095750442287853,0.72291970132676608,0.73810817249057425,0.76243758176349807,1.0,
Silhoutte,0.20087591,0.23315802,0.26651385,0.27244712,0.30809717,0.32195183,0.34447708,0.35344171,0.19592503,
