,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Louvain,
0,2,3,3,2,2,2,2,0,
1,2,3,3,2,2,2,2,0,
2,2,3,3,2,2,2,2,0,
3,2,2,2,2,2,7,7,1,
4,2,3,3,2,2,2,2,0,
5,2,0,4,4,4,4,4,0,
6,2,3,4,2,2,2,2,0,
7,2,3,4,2,2,2,2,0,
8,0,0,4,4,4,4,8,0,
9,2,2,4,2,2,7,7,1,
10,2,0,4,4,4,4,4,0,
11,2,0,4,4,4,4,4,0,
12,2,3,4,4,4,4,4,0,
13,1,1,1,2,2,7,7,0,
14,1,3,3,3,3,3,3,0,
15,1,3,3,3,3,3,3,0,
16,0,2,3,3,3,3,3,0,
17,1,3,3,3,3,3,3,0,
18,1,3,3,3,3,3,3,0,
19,1,3,3,3,3,3,3,0,
20,0,3,3,3,3,3,3,0,
21,1,2,4,3,3,3,3,0,
22,1,1,1,1,1,1,1,2,
23,2,2,2,2,2,7,7,1,
24,2,2,2,2,2,7,7,1,
25,1,1,1,1,1,1,1,0,
26,1,1,3,3,3,3,3,0,
27,1,1,1,1,1,1,1,2,
28,1,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,1,2,
30,2,2,2,5,5,5,5,1,
31,2,2,2,5,5,5,5,1,
32,2,2,2,5,5,5,5,1,
33,1,2,2,5,5,5,5,1,
34,2,2,2,5,5,5,5,1,
35,2,3,3,2,2,2,2,0,
36,1,1,1,1,1,1,1,2,
37,1,1,1,5,6,6,6,2,
38,1,1,1,1,6,6,6,2,
39,1,1,1,1,1,1,1,2,
40,1,1,1,1,1,1,1,2,
41,0,0,0,0,1,6,6,2,
42,1,1,1,1,1,1,1,2,
43,1,1,1,1,1,1,1,2,
44,1,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,1,2,
47,1,1,1,1,1,1,1,2,
48,1,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,1,1,
51,1,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,1,2,
54,1,1,1,1,1,1,1,2,
55,99,99,99,99,99,99,99,99,
Modularity,0.13630053798301567,0.18280640592166095,0.19029005691598744,0.20826668476438018,0.21226045349949169,0.21573138092385935,0.21337426276431987,0.24731300851228377,
NMI,0.3103068665739131,0.57935548133515957,0.66147858755809208,0.559845147627831,0.59418391585173447,0.63197470883939366,0.62386653227366418,1.0,
Silhoutte,0.03576614,0.15799169,0.17635666,0.25131896,0.29652152,0.37166708,0.36727619,0.18046073,
