,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,2,2,5,5,5,0,
1,1,3,4,4,3,3,0,
2,2,3,4,4,4,4,0,
3,1,1,1,1,1,1,0,
4,2,2,2,5,5,5,0,
5,0,3,3,5,5,3,0,
6,1,3,4,4,3,3,0,
7,0,0,0,0,6,6,0,
8,1,1,1,1,1,6,0,
9,1,1,4,4,4,4,0,
10,1,3,3,3,6,7,0,
11,1,3,3,3,3,3,0,
12,0,3,3,3,3,3,0,
13,1,1,4,4,6,4,0,
14,2,2,2,2,2,2,1,
15,2,2,2,2,2,2,1,
16,2,2,0,0,4,7,1,
17,2,2,2,2,2,2,1,
18,2,2,2,2,2,2,1,
19,2,2,2,2,2,2,1,
20,2,2,2,2,2,2,1,
21,2,2,2,2,2,2,1,
22,1,1,1,1,1,1,1,
23,0,0,4,4,6,7,0,
24,0,3,3,3,6,7,0,
25,1,1,1,1,1,1,2,
26,2,2,2,2,2,2,1,
27,1,1,1,1,1,1,2,
28,1,1,1,1,1,1,2,
29,1,1,1,1,1,1,2,
30,2,3,4,4,4,4,0,
31,1,1,1,1,1,1,2,
32,0,3,4,4,4,4,0,
33,1,1,1,1,1,1,2,
34,1,1,1,1,1,1,2,
35,1,1,1,1,1,1,2,
36,1,1,1,1,1,1,2,
37,1,1,1,1,1,1,2,
38,1,1,1,1,1,1,2,
39,1,1,1,1,1,1,2,
40,1,1,1,1,1,1,2,
41,1,3,3,5,6,5,2,
42,1,1,1,1,1,1,2,
43,99,99,99,99,99,99,99,
44,1,1,1,1,1,1,2,
45,1,1,1,1,1,1,2,
46,1,1,1,1,1,1,2,
47,99,99,99,99,99,99,99,
48,1,1,1,1,1,1,2,
49,1,1,1,1,1,1,2,
50,1,1,1,1,1,1,2,
51,1,1,1,1,1,1,2,
52,1,1,1,1,1,1,2,
53,1,1,1,1,1,1,2,
54,99,99,99,99,99,99,99,
55,1,1,1,1,1,1,2,
Modularity,0.07098735991509025,0.09123972724923968,0.10049816154990072,0.10239297853867578,0.10176282541595086,0.10711643942948229,0.1304051836747262,
NMI,0.47708092129223395,0.53759476526639038,0.5576226420211241,0.61954048855236654,0.58947947590245875,0.62761950023570912,1.0,
Silhoutte,0.24695744,0.30627879,0.33740553,0.37821382,0.41261923,0.40520767,0.33454877,
