,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,1,1,1,1,1,7,7,7
1,1,3,4,4,4,4,8,9
2,1,1,1,1,1,1,1,1
3,0,3,3,3,3,3,3,3
4,1,1,1,1,1,1,7,7
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,2,2,2,1,2,2,8,8
9,2,3,3,3,3,3,3,3
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,3,3,3,3,3,3
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1
23,0,3,3,3,3,3,3,3
24,2,2,4,2,4,4,4,4
25,1,1,1,1,1,1,1,1
26,0,3,4,4,4,4,4,4
27,1,1,1,1,1,1,2,9
28,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2
30,0,3,3,5,5,5,5,5
31,0,3,3,5,5,5,5,5
32,0,3,3,5,5,5,5,5
33,0,3,3,5,5,5,5,5
34,2,2,2,2,2,2,2,0
35,1,1,1,3,3,7,7,7
36,2,2,2,2,2,2,8,8
37,2,2,2,2,2,2,2,2
38,2,2,2,2,2,2,2,2
39,2,2,2,2,2,2,2,2
40,2,2,2,2,6,6,6,6
41,1,1,1,1,6,6,6,6
42,2,2,2,2,2,2,2,2
43,1,3,4,4,4,4,4,4
44,2,2,2,2,2,2,2,2
45,0,3,4,4,4,4,4,4
46,2,2,2,2,2,2,2,2
47,2,2,2,2,2,2,2,2
48,2,2,2,2,2,2,2,2
49,2,2,2,2,2,2,2,2
50,2,2,4,4,4,4,4,4
51,2,2,2,2,2,2,2,2
52,2,2,2,2,2,2,2,1
53,2,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
