,Cluster 2,Cluster 3,Cluster 4,Louvain,LPA
0,2,2,2,0,0
1,1,2,2,0,0
2,1,1,1,0,1
3,2,3,3,2,1
4,1,1,1,0,2
5,1,1,1,0,2
6,1,1,1,0,2
7,1,1,1,0,2
8,1,1,1,0,2
9,1,1,1,0,2
10,1,1,1,0,2
11,1,1,1,0,2
12,1,1,1,0,2
13,1,1,1,0,2
14,1,1,1,0,1
15,1,1,1,0,1
16,1,1,1,0,2
17,1,1,1,0,2
18,1,1,1,0,2
19,1,1,1,0,2
20,1,1,1,0,2
21,1,1,1,0,2
22,1,1,1,0,2
23,1,1,1,0,1
24,1,3,3,2,3
25,2,1,1,0,1
26,0,0,4,2,4
27,2,2,2,1,5
28,2,2,2,1,5
29,2,2,2,1,5
30,2,2,2,1,7
31,2,2,2,1,6
32,2,2,2,1,6
33,2,2,2,1,5
34,2,2,2,1,6
35,2,2,2,0,1
36,2,2,2,1,5
37,1,3,3,2,3
38,2,2,2,1,5
39,2,2,2,1,5
40,2,2,2,1,7
41,2,2,2,1,5
42,2,2,2,1,4
43,1,0,4,2,4
44,2,2,2,1,5
45,2,2,2,1,5
46,2,2,2,1,7
47,2,2,2,1,5
48,2,2,2,1,5
49,1,3,3,2,3
50,0,0,4,1,7
51,1,3,3,2,3
52,1,1,1,0,1
53,1,1,4,2,4
54,99,99,99,99,99
55,99,99,99,99,99
Modularity,0.23076493590048114,0.2615263173811397,0.2663611992768275,0.30086853601272245,0.17752955317992053
NMI,0.512730534250884,0.69101022404505552,0.74628820907172511,1.0,0.66607020479902412
