,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
0,0,1,4,4,5,7
1,0,3,3,3,6,6
2,99,99,99,99,99,99
3,2,3,3,3,3,3
4,2,2,2,2,2,2
5,2,2,3,3,6,6
6,0,3,3,3,6,6
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,99,99,99,99,99,99
10,1,1,1,1,1,1
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,3,3
14,1,1,1,1,1,1
15,1,1,1,1,1,1
16,1,1,1,1,1,1
17,1,1,1,1,1,1
18,1,1,1,1,1,1
19,1,1,1,1,1,1
20,1,1,1,1,1,1
21,1,1,1,3,6,1
22,1,1,1,1,1,1
23,2,3,3,5,3,3
24,1,3,3,3,3,3
25,1,1,1,1,1,1
26,2,2,2,2,2,2
27,2,2,2,2,2,2
28,1,1,1,1,1,1
29,2,2,2,2,2,2
30,1,1,2,1,2,2
31,1,1,1,1,1,7
32,1,1,1,1,1,7
33,2,2,2,2,2,2
34,2,2,2,2,2,2
35,2,2,4,4,5,2
36,2,2,2,5,2,5
37,2,2,2,2,2,2
38,0,0,0,5,4,5
39,2,2,2,5,2,5
40,1,1,4,4,4,4
41,1,1,1,4,4,4
42,1,1,4,4,4,4
43,2,2,2,2,2,2
44,2,2,2,2,2,2
45,2,1,1,1,5,7
46,2,2,2,2,2,2
47,2,2,2,2,2,2
48,2,1,1,1,1,7
49,2,2,2,2,2,2
50,2,2,2,2,2,2
51,2,2,2,2,2,2
52,0,0,0,0,0,7
53,2,2,2,2,2,2
54,99,99,99,99,99,99
55,99,99,99,99,99,99
