,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,0,2,2,2,6,6,6,6,6,1,0
1,0,0,0,0,0,7,7,7,7,0,1
2,2,3,3,3,3,3,3,3,3,0,2
3,2,2,4,4,4,4,4,4,4,1,3
4,0,2,0,0,6,6,6,6,6,1,0
5,2,3,3,3,3,3,3,3,3,0,2
6,1,0,2,2,2,7,7,7,7,0,1
7,2,0,0,5,5,5,5,5,5,0,1
8,2,3,3,3,3,3,3,3,3,0,1
9,2,2,4,4,4,4,4,4,4,1,3
10,0,2,2,0,6,6,6,6,6,1,0
11,2,3,3,3,3,3,3,3,3,0,2
12,1,1,1,1,1,1,3,3,3,3,2
13,2,1,1,1,1,1,1,1,1,3,2
14,2,3,3,3,3,3,3,3,3,0,1
15,1,1,1,1,1,1,1,4,4,1,2
16,2,3,3,3,3,3,3,3,3,0,2
17,2,3,3,3,3,3,3,3,3,0,2
18,2,3,3,3,3,3,3,3,3,0,2
19,2,2,4,4,4,4,4,4,4,1,3
20,2,2,1,1,1,2,1,1,10,1,1
21,2,3,3,3,3,7,7,7,7,0,1
22,2,2,4,4,4,4,4,4,10,1,1
23,1,1,1,1,1,1,1,1,1,3,4
24,1,1,1,1,1,1,1,1,1,3,4
25,2,3,3,3,3,3,3,3,3,0,1
26,1,1,1,5,5,5,5,9,9,2,5
27,1,1,2,2,2,2,2,2,2,2,6
28,2,3,4,4,4,4,4,4,4,1,3
29,1,1,2,2,2,2,2,2,2,2,6
30,2,2,4,4,4,4,4,4,10,1,3
31,2,2,4,4,4,4,4,4,10,1,3
32,2,2,4,4,4,4,4,4,10,1,3
33,2,2,4,4,4,4,4,4,4,1,3
34,1,1,2,5,5,5,5,5,5,2,1
35,1,3,3,3,3,3,3,3,3,2,6
36,0,0,0,5,5,5,5,5,5,2,1
37,0,2,2,2,2,2,2,2,2,2,7
38,0,2,2,2,2,2,8,2,5,2,7
39,2,2,2,2,2,2,2,2,2,2,7
40,2,2,2,2,2,1,8,8,8,2,7
41,1,2,2,2,2,2,8,8,8,2,7
42,2,2,2,2,2,2,8,8,8,2,7
43,1,1,1,2,2,2,2,9,9,2,6
44,1,1,2,2,2,2,2,2,2,2,6
45,1,1,3,5,5,5,5,9,9,2,5
46,1,1,1,1,1,1,1,1,1,3,4
47,2,3,3,3,3,3,3,3,3,0,2
48,1,1,2,2,2,2,2,2,2,2,7
49,1,1,2,2,2,2,2,2,2,2,6
50,1,1,2,2,1,2,2,2,2,2,6
51,1,1,1,1,1,1,1,1,1,3,4
52,1,1,1,1,1,1,1,1,1,3,4
53,1,1,2,2,2,2,2,2,2,2,6
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09215181589644528,0.11408958042024109,0.10783063271622961,0.11309740661697666,0.11730335557560781,0.11346476792559887,0.1144300695923166,0.11758106933898452,0.1044950143010695,0.14266774787651454,0.09525643865232129
NMI,0.26695505777888817,0.50303743917334309,0.55123980522339078,0.64391742209769154,0.65953789412450914,0.67129549648639208,0.66600842379718728,0.68039289822700855,0.68405209521704424,1.0,0.61661628729284634
