,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
0,0,3,3,5,3,3,3,3,3
1,2,0,0,0,6,6,6,6,6
2,0,3,4,5,3,3,3,3,3
3,1,1,3,3,5,5,5,5,5
4,0,3,3,5,3,3,3,3,3
5,1,1,1,1,3,1,6,1,1
6,0,0,1,1,6,6,6,6,6
7,0,0,1,0,6,6,6,6,10
8,0,0,2,4,6,6,6,6,10
9,1,1,3,0,0,0,5,5,5
10,1,1,1,1,1,1,5,5,5
11,0,0,2,0,4,7,7,7,7
12,1,1,1,1,1,1,1,1,1
13,1,1,1,3,5,5,5,5,5
14,1,1,3,1,1,1,5,5,5
15,1,1,3,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1
19,1,1,2,1,1,1,1,1,1
20,1,1,3,1,1,1,1,1,1
21,1,1,1,1,6,6,6,6,6
22,1,1,3,1,1,1,1,1,1
23,1,3,3,3,5,5,8,8,8
24,1,3,3,3,5,5,5,8,8
25,1,1,3,3,5,5,5,5,5
26,1,3,3,3,5,5,8,8,8
27,2,2,4,2,2,2,2,2,2
28,2,2,4,4,4,4,4,4,4
29,2,2,4,5,4,4,4,4,2
30,1,2,4,4,4,4,4,4,4
31,0,2,4,4,4,4,4,4,4
32,0,0,4,4,4,4,4,4,4
33,2,2,4,4,4,4,4,4,4
34,2,2,2,2,2,4,2,2,2
35,0,2,1,5,3,3,3,3,3
36,2,1,2,2,2,2,2,2,10
37,0,0,0,0,0,0,0,9,9
38,2,2,2,2,2,2,2,2,2
39,1,1,2,2,2,2,2,2,2
40,1,1,2,2,2,2,2,9,9
41,1,1,2,2,2,2,7,9,9
42,1,1,2,5,2,2,2,9,9
43,1,3,3,3,5,5,8,8,8
44,2,1,2,2,2,2,2,2,2
45,1,3,3,3,5,5,8,8,8
46,2,3,3,3,5,7,5,7,7
47,1,1,2,2,2,7,7,2,2
48,2,2,2,2,2,2,2,2,2
49,2,2,4,2,2,4,2,4,2
50,2,3,3,3,5,5,8,8,8
51,2,3,3,3,5,5,8,8,8
52,0,0,0,0,0,7,7,7,7
53,2,2,2,2,2,2,2,2,2
54,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99
