,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,LPA
0,2,2,2,5,0,0
1,2,2,2,5,0,0
2,1,1,1,1,0,1
3,2,3,3,3,2,2
4,1,1,1,1,0,3
5,1,1,1,1,0,3
6,1,1,1,1,0,3
7,1,1,1,1,0,3
8,1,1,1,1,0,3
9,1,1,1,1,0,3
10,1,1,1,1,0,3
11,1,1,1,1,0,3
12,1,1,1,1,0,3
13,1,1,1,1,0,3
14,1,1,1,1,0,4
15,1,1,1,1,0,4
16,1,1,1,1,0,3
17,1,1,1,1,0,4
18,1,1,1,1,0,3
19,1,1,1,1,0,3
20,1,1,1,1,0,3
21,1,1,1,1,0,3
22,1,1,1,1,0,3
23,1,1,1,1,0,1
24,1,3,3,3,2,5
25,2,1,1,3,0,2
26,0,0,0,4,0,0
27,2,2,2,2,1,6
28,2,2,2,2,1,6
29,2,2,2,2,1,6
30,2,2,2,2,1,7
31,2,2,2,2,1,6
32,2,2,2,2,1,6
33,2,2,2,2,1,6
34,2,2,2,2,1,6
35,2,2,4,4,0,1
36,2,2,2,2,1,6
37,1,3,3,3,2,8
38,2,2,2,2,1,6
39,2,2,2,2,1,6
40,2,2,2,2,1,7
41,2,2,2,2,1,6
42,2,2,2,2,1,0
43,1,0,4,4,2,8
44,2,2,2,2,1,6
45,2,2,2,2,1,6
46,2,2,2,2,1,7
47,2,2,2,2,1,6
48,2,2,2,2,1,6
49,1,3,3,3,2,5
50,0,0,4,4,1,8
51,1,3,3,3,2,5
52,1,1,1,1,0,1
53,1,0,4,5,2,8
54,99,99,99,99,99,99
55,99,99,99,99,99,99
Modularity,0.24031293321079678,0.2878873482366334,0.2941090936570478,0.2980629346560486,0.31266227326485035,0.20724912251265473
NMI,0.45716734624467181,0.69960460362296639,0.71422209555304061,0.71551678024531629,1.0,0.63829757222692984
