,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,4,5,5,5,5,5,3,0
1,99,99,99,99,99,99,99,99,99,99
2,2,2,4,5,5,5,5,5,3,0
3,1,1,4,4,4,4,4,4,1,1
4,2,2,4,5,5,5,5,5,3,0
5,1,3,3,3,3,3,3,3,3,2
6,1,1,1,1,1,1,1,1,1,3
7,1,1,1,3,3,3,3,3,1,3
8,1,1,1,1,1,1,1,1,1,3
9,1,3,4,4,4,4,4,4,1,1
10,1,1,1,1,1,1,1,1,1,3
11,0,0,0,0,0,7,8,8,2,4
12,1,1,4,4,4,4,4,4,1,1
13,0,1,1,5,6,6,6,6,3,5
14,0,3,3,3,3,3,3,3,3,2
15,1,1,1,1,1,1,1,1,1,3
16,1,1,1,1,1,1,1,1,1,3
17,1,1,1,1,1,1,1,1,1,3
18,1,1,1,1,1,1,1,1,1,3
19,1,1,1,1,1,1,1,1,1,3
20,1,1,4,4,4,4,4,4,1,3
21,1,1,1,1,1,1,1,1,1,3
22,1,3,4,4,4,4,4,4,3,1
23,0,3,3,3,3,3,3,3,3,2
24,2,2,2,2,2,2,2,2,2,6
25,2,2,2,2,2,2,2,2,2,6
26,0,3,1,5,6,6,6,6,3,5
27,2,3,3,3,3,3,3,3,3,2
28,1,3,4,4,4,4,4,4,1,1
29,0,3,3,3,3,3,3,3,3,2
30,1,1,4,4,4,4,4,4,1,7
31,1,1,4,4,4,4,4,4,1,7
32,1,1,4,4,4,4,4,4,1,7
33,1,1,4,4,4,4,4,4,1,7
34,1,1,4,4,4,4,4,4,1,1
35,2,3,3,5,5,5,5,5,3,0
36,2,2,2,2,2,7,7,7,2,8
37,2,2,2,2,2,7,7,7,2,8
38,2,2,2,2,2,7,7,9,2,8
39,2,1,1,2,2,1,7,7,2,8
40,2,2,2,2,2,2,2,2,2,6
41,2,2,2,2,2,2,2,2,2,6
42,2,2,2,2,2,2,2,2,2,6
43,0,0,0,0,5,5,5,9,3,4
44,2,2,2,2,2,2,2,2,2,6
45,0,3,3,5,6,6,6,6,3,5
46,1,1,3,3,3,7,8,8,2,4
47,2,2,2,2,2,7,7,7,2,8
48,2,2,2,2,2,2,2,2,2,8
49,2,2,2,2,2,2,2,2,2,6
50,2,2,2,2,2,2,2,2,2,6
51,0,3,3,3,6,6,6,6,3,5
52,2,2,2,2,5,2,2,2,2,6
53,2,2,2,2,2,7,7,7,2,8
54,0,0,0,0,0,2,0,9,3,4
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.15990767908582737,0.1595093205433062,0.14826969968387296,0.1634720244909834,0.1605270158876187,0.15057082857888354,0.15087208180520073,0.1476630241357143,0.18698536591201273,0.1321966322369903
NMI,0.58077363479314725,0.52952045316476659,0.52969801443346265,0.65270948303322207,0.6076586168882927,0.59919721609918042,0.65867179198990544,0.62950899801443183,1.0,0.65145258577560816
