,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,0,4,5,6,7,8,8,8,8,8,1,0
1,0,0,0,0,4,7,1,7,1,7,7,3,0
2,1,1,4,1,6,6,6,6,6,6,6,1,1
3,1,1,4,1,6,6,6,6,6,6,6,1,1
4,0,0,4,4,6,4,8,8,8,8,8,1,0
5,0,0,0,0,0,0,0,0,0,11,11,2,0
6,0,3,3,3,3,3,3,3,3,3,3,0,0
7,0,0,0,4,5,5,4,9,10,10,10,3,0
8,0,3,1,4,5,5,4,9,10,10,10,3,0
9,1,1,4,1,6,6,6,6,6,6,6,1,1
10,1,1,1,1,6,6,1,1,1,1,1,1,1
11,1,1,1,1,5,5,4,1,1,1,1,3,1
12,1,1,1,1,6,6,6,6,6,6,6,1,1
13,2,2,2,2,2,2,2,2,9,2,9,2,2
14,2,2,2,5,2,2,5,2,2,5,2,2,2
15,2,2,2,2,2,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2,2,2,2,2,2
20,2,2,2,4,5,5,7,9,10,9,9,2,2
21,2,2,2,2,2,2,2,2,2,2,2,2,2
22,2,2,2,2,2,2,2,2,2,2,2,2,2
23,1,1,4,4,6,4,7,4,4,4,1,1,1
24,1,1,4,5,6,6,6,6,6,6,6,1,1
25,1,1,1,1,5,5,4,1,7,11,12,3,0
26,2,3,3,3,3,3,7,7,9,7,7,2,0
27,1,1,1,1,5,1,1,1,1,1,1,3,1
28,1,3,3,3,3,3,3,3,3,3,3,0,0
29,1,3,3,3,3,3,3,3,3,3,3,0,0
30,0,3,3,3,3,3,3,3,3,3,3,0,0
31,0,0,4,4,4,4,7,4,4,4,4,1,0
32,1,1,1,1,4,4,7,4,4,4,1,1,0
33,1,1,4,4,4,4,7,4,4,4,4,1,0
34,1,1,1,1,4,4,7,1,4,1,1,3,1
35,1,1,4,5,6,7,8,8,8,8,8,1,0
36,0,3,3,4,5,5,4,9,10,10,10,3,0
37,1,1,1,1,6,6,6,6,6,6,6,1,1
38,0,3,3,3,3,3,3,3,3,3,3,0,0
39,0,3,3,3,3,3,3,3,3,3,3,0,0
40,0,0,4,5,1,1,5,5,5,5,5,3,2
41,1,1,1,1,6,1,1,1,1,1,1,3,1
42,0,0,4,5,1,1,5,5,5,5,5,3,2
43,0,3,3,3,3,3,3,3,3,3,3,0,0
44,1,1,1,1,1,1,1,1,1,1,1,3,1
45,1,1,1,1,1,1,1,1,1,1,5,3,1
46,1,1,4,4,6,6,6,6,6,6,6,1,0
47,0,0,0,0,0,0,0,7,7,11,12,3,0
48,1,1,1,1,6,1,1,1,1,1,1,3,1
49,1,1,1,1,1,1,1,1,1,1,1,3,1
50,1,3,3,3,3,3,3,3,3,3,3,0,0
51,1,1,1,1,1,1,1,1,1,1,1,3,1
52,1,1,4,4,6,4,7,1,4,1,1,1,0
53,1,1,1,1,6,1,1,1,1,1,1,3,1
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.0943160045222046,0.10802507124825471,0.11179304123517587,0.0960538134670892,0.11546093592205861,0.1160484042950167,0.10431185205060507,0.10941976635063501,0.10659879407418353,0.10451434443023856,0.10267049535365858,0.1435093977247665,0.09157636833096483
NMI,0.42784474172321535,0.55053277229745179,0.63568213142031249,0.50067462614722891,0.64232786138029407,0.68675978549183481,0.65000786198241767,0.69389791224952169,0.69331056644906996,0.66785850846360972,0.67751683123655271,1.0,0.37108530164037917
