,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
0,0,3,4,4,6,6,6,6,9,6
1,0,0,0,5,5,5,5,5,5,5
2,1,1,1,1,5,1,7,7,7,7
3,1,1,1,1,1,7,1,1,1,1
4,1,3,4,4,6,6,6,6,10,6
5,1,3,3,2,6,6,6,6,10,10
6,0,0,0,5,5,5,5,5,5,5
7,1,1,1,5,1,7,5,5,5,5
8,2,2,2,2,6,2,2,2,2,11
9,1,1,1,1,5,7,1,1,1,1
10,1,1,1,1,5,7,1,1,1,1
11,2,2,2,2,2,2,2,2,2,2
12,1,3,3,3,6,6,6,6,10,10
13,1,1,1,1,1,7,1,1,1,1
14,1,1,1,1,1,7,1,1,1,1
15,2,3,3,3,3,3,3,3,3,3
16,0,3,3,3,6,6,6,3,10,10
17,1,3,3,3,6,3,3,3,10,10
18,2,3,3,3,3,3,3,3,3,3
19,2,3,3,3,3,3,3,3,3,10
20,1,3,3,3,3,3,3,3,3,3
21,0,0,3,5,5,5,5,5,5,5
22,1,1,4,4,3,3,3,9,3,3
23,1,1,1,5,1,7,1,1,1,1
24,2,1,4,4,4,7,4,4,4,4
25,1,1,1,1,5,7,7,7,7,7
26,0,0,4,4,4,4,4,4,4,4
27,0,2,2,5,2,2,2,2,7,10
28,2,2,2,2,6,2,2,2,2,11
29,2,2,2,2,2,2,2,2,2,11
30,1,1,1,1,5,1,7,7,7,7
31,0,1,1,1,5,1,7,7,7,7
32,1,1,1,1,5,1,7,7,7,7
33,1,1,1,1,5,1,7,7,7,7
34,0,0,0,0,0,0,0,0,6,9
35,2,2,2,2,6,2,2,2,2,11
36,2,2,2,2,2,2,2,2,2,11
37,2,2,2,3,2,2,2,2,6,2
38,2,2,3,3,2,1,6,6,6,2
39,2,2,3,3,2,2,8,8,10,11
40,0,0,0,5,1,7,8,8,8,8
41,1,0,0,0,0,7,8,8,8,8
42,1,1,3,5,2,7,8,8,8,8
43,2,3,4,4,4,4,4,9,9,9
44,2,2,2,2,2,2,2,2,2,2
45,2,0,4,4,4,4,4,4,4,4
46,1,1,4,4,1,7,1,1,6,2
47,2,2,2,2,2,2,2,2,9,9
48,2,2,4,4,4,4,4,4,4,4
49,2,2,2,2,2,2,2,2,6,2
50,2,2,4,4,2,7,2,2,6,2
51,1,1,4,4,1,7,1,1,1,1
52,2,3,3,3,2,3,3,9,9,9
53,2,3,3,4,4,4,4,9,9,9
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
