,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,LPA
0,0,3,3,3,3,7,7,7,7,7,7,7,0,0
1,1,1,1,5,5,5,5,5,5,5,5,5,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
3,1,1,1,1,1,1,1,1,1,1,1,1,1,2
4,0,3,3,3,3,7,7,7,7,7,7,7,0,0
5,0,0,2,5,5,5,5,5,5,5,5,5,3,0
6,2,3,3,5,5,5,5,5,5,5,5,5,4,1
7,0,0,4,4,5,5,8,8,4,4,8,4,3,0
8,0,0,4,4,5,5,8,8,4,4,8,4,3,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,2
10,1,1,1,1,1,1,1,1,1,1,1,1,1,2
11,0,0,2,0,0,2,8,8,10,10,10,10,3,0
12,0,0,2,5,5,5,5,5,5,5,5,5,4,1
13,0,0,0,0,6,6,6,6,10,9,12,13,1,1
14,2,3,3,3,3,3,3,3,3,3,3,3,4,1
15,2,3,3,3,3,3,3,3,3,3,3,3,4,1
16,0,2,2,5,6,6,6,6,6,6,6,6,2,3
17,2,3,3,3,3,3,3,3,3,3,3,3,4,1
18,2,3,3,3,3,3,3,3,3,3,3,3,4,1
19,2,0,0,0,6,7,7,9,9,9,9,9,4,0
20,2,3,3,3,3,3,3,3,3,3,3,3,4,1
21,2,3,3,3,3,3,3,3,3,3,3,3,4,1
22,2,3,3,3,5,3,5,5,5,5,5,5,4,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,2
24,0,0,0,0,0,0,0,0,0,0,0,13,0,0
25,0,0,0,5,6,6,8,9,9,11,11,11,2,3
26,2,3,3,3,3,3,3,3,3,3,3,3,4,1
27,0,0,0,0,6,7,7,9,9,9,9,9,4,0
28,2,2,2,2,4,4,4,4,2,2,12,12,2,4
29,2,2,4,4,4,4,4,4,8,8,4,12,2,4
30,1,1,1,1,1,1,1,1,1,1,1,1,1,2
31,1,1,1,1,1,1,1,1,1,1,1,1,1,2
32,1,1,1,1,1,1,1,1,1,1,1,1,1,2
33,1,1,1,1,1,1,1,1,1,1,1,1,1,2
34,0,0,0,1,0,0,0,0,0,1,12,12,1,2
35,0,3,3,3,3,7,7,7,7,7,7,7,0,0
36,2,2,4,4,4,4,8,8,4,4,8,4,3,0
37,0,0,4,4,4,4,4,4,8,8,4,8,3,0
38,2,2,2,4,0,0,0,0,6,9,12,12,2,3
39,2,2,2,5,6,6,6,6,6,6,6,6,2,3
40,2,2,2,2,2,2,2,2,2,2,2,2,2,3
41,0,0,0,2,2,2,2,2,2,2,2,2,2,3
42,2,2,2,2,2,2,2,2,2,2,2,2,2,3
43,2,2,2,2,2,2,2,2,2,2,2,2,2,3
44,2,2,4,4,4,4,4,4,8,8,4,12,2,4
45,2,2,2,4,6,6,6,6,6,6,6,6,2,3
46,1,2,2,5,6,6,6,6,6,6,6,6,2,3
47,2,0,4,4,4,4,4,4,8,8,4,8,3,0
48,2,2,4,4,4,4,4,4,8,8,4,12,3,4
49,2,2,4,4,4,4,4,4,8,8,4,8,3,4
50,1,2,2,5,6,6,2,2,2,11,11,11,2,3
51,2,2,4,4,6,6,8,8,8,11,11,11,2,3
52,0,0,4,4,0,0,8,8,10,10,10,10,3,0
53,2,2,4,4,4,4,4,4,8,8,4,12,3,4
54,99,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.13870444490100675,0.22808534717166437,0.21415896217353714,0.21418120023364645,0.21347932187364382,0.2208775334062408,0.21888781849482783,0.21766149218686212,0.21727271127312248,0.21735481053703554,0.21163767034440115,0.20989109710681994,0.26611552042511416,0.23590957166272006
NMI,0.37249524694307939,0.59050527108972029,0.60756918955615513,0.57516928606461892,0.53763963938560033,0.59522183647905125,0.60822471785858478,0.62656201469406481,0.66924830211234765,0.6829761769702104,0.68477557951459667,0.67188309930303847,1.0,0.71650502117111681
