,Cluster 2,Cluster 3,Cluster 4
0,0,3,3
1,99,99,99
2,99,99,99
3,2,2,4
4,0,3,3
5,2,3,4
6,1,3,3
7,0,3,3
8,99,99,99
9,2,2,2
10,2,2,4
11,99,99,99
12,1,1,4
13,2,1,1
14,1,1,1
15,99,99,99
16,1,1,1
17,99,99,99
18,1,1,1
19,1,1,1
20,99,99,99
21,1,1,1
22,99,99,99
23,2,2,2
24,99,99,99
25,99,99,99
26,1,1,1
27,1,1,1
28,1,1,1
29,1,1,1
30,2,2,2
31,2,2,2
32,2,2,2
33,2,2,2
34,99,99,99
35,2,2,4
36,99,99,99
37,99,99,99
38,1,1,1
39,99,99,99
40,1,1,1
41,99,99,99
42,99,99,99
43,2,2,2
44,99,99,99
45,99,99,99
46,99,99,99
47,99,99,99
48,99,99,99
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,1
53,2,2,2
54,99,99,99
55,99,99,99
