,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,
0,1,3,3,5,5,5,5,5,5,5,6,
1,0,3,4,5,5,5,5,5,9,9,6,
2,0,3,3,5,5,5,5,5,5,5,6,
3,2,3,3,3,3,3,3,3,3,3,0,
4,0,3,3,5,5,5,5,5,5,5,6,
5,2,2,2,2,2,2,2,2,2,2,0,
6,0,3,4,4,4,4,4,9,9,9,6,
7,2,2,2,4,6,6,6,9,9,9,4,
8,1,1,3,3,6,6,6,6,6,6,4,
9,0,3,3,3,3,3,3,3,3,3,0,
10,1,1,4,4,4,4,4,4,10,11,0,
11,2,2,2,2,2,2,2,2,10,10,0,
12,2,2,2,2,2,2,2,2,10,10,0,
13,2,2,4,4,4,4,4,4,4,11,0,
14,0,3,3,3,3,3,3,3,3,3,0,
15,2,2,2,2,2,2,2,2,2,2,0,
16,2,2,2,2,2,2,2,2,2,2,0,
17,2,2,2,2,2,2,2,2,2,2,0,
18,2,2,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,2,2,2,2,2,0,
20,2,2,2,2,2,2,2,2,2,2,0,
21,2,3,3,3,6,6,6,6,6,6,4,
22,99,99,99,99,99,99,99,99,99,99,99,
23,1,3,3,3,3,3,3,3,3,3,3,
24,99,99,99,99,99,99,99,99,99,99,99,
25,1,1,4,4,4,4,4,4,4,11,3,
26,2,2,3,2,3,3,3,3,3,3,0,
27,2,2,2,2,2,2,2,2,2,2,0,
28,1,1,1,1,1,1,1,1,1,1,3,
29,1,1,1,1,1,1,1,1,1,1,3,
30,0,0,4,4,4,4,4,9,4,4,6,
31,0,0,4,4,4,4,4,4,4,4,6,
32,0,0,4,4,4,4,4,4,4,11,6,
33,2,3,4,4,4,4,4,9,4,4,6,
34,2,3,4,4,4,4,4,4,4,4,6,
35,0,3,3,5,5,5,5,5,5,5,6,
36,1,1,1,3,6,6,6,6,6,6,4,
37,2,2,4,2,3,5,8,8,8,8,3,
38,2,2,2,2,3,3,8,8,8,8,3,
39,1,1,1,1,1,1,1,1,1,1,3,
40,1,1,1,1,1,1,1,1,1,1,3,
41,2,0,0,0,0,7,7,7,7,7,3,
42,99,99,99,99,99,99,99,99,99,99,99,
43,1,1,1,1,1,1,1,1,1,1,3,
44,1,1,1,1,1,1,1,1,1,1,3,
45,1,1,1,1,1,1,1,1,1,1,3,
46,1,1,1,1,1,1,1,1,1,1,3,
47,2,2,4,3,3,3,8,8,8,8,4,
48,1,1,1,1,1,1,1,1,1,1,3,
49,1,1,4,4,4,4,4,4,4,1,6,
50,0,0,0,0,0,7,7,7,7,7,3,
51,1,1,1,1,1,1,1,1,1,1,3,
52,1,1,1,1,1,1,1,1,1,1,3,
53,1,1,1,1,1,1,1,1,1,1,3,
54,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.07867504269594225,0.08436104547270064,0.1077892666613515,0.11549265280365376,0.12667601681759105,0.12158324006551882,0.12960582186023514,0.121414445631407,0.11624146122474718,0.1098577555916214,0.15156868399603543,
NMI,0.3181056315892879,0.36556359506156555,0.39549515307928929,0.55354736713061836,0.64258238000811296,0.62118494178101669,0.66695825387116259,0.63608797713951681,0.63531811094600721,0.60341956925665063,1.0,
Silhoutte,0.13807179,0.14841543,0.15540166,0.19103615,0.22578791,0.21764951,0.26738383,0.26813849,0.27579093,0.26548671,0.17765377,
