,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Louvain,LPA
0,2,2,2,2,2,2,2,2,2,2,0,0
1,2,2,2,2,2,7,7,7,7,7,0,1
2,2,2,2,2,2,2,2,2,2,2,0,0
3,2,3,3,3,3,3,3,3,3,3,2,2
4,2,2,2,2,2,2,2,2,2,2,0,0
5,2,2,2,2,2,2,2,2,2,2,0,0
6,0,0,0,0,0,7,7,7,7,7,2,1
7,0,3,4,4,6,6,6,6,6,6,1,1
8,0,0,4,4,6,6,6,6,6,6,1,1
9,2,3,3,3,3,3,3,3,3,3,2,2
10,2,3,3,3,3,3,3,3,3,3,2,2
11,2,2,2,2,2,2,2,2,2,2,0,0
12,1,3,3,3,6,7,7,7,7,7,2,1
13,2,3,3,3,3,3,3,3,3,3,2,2
14,2,3,3,3,3,3,3,3,3,3,2,2
15,2,3,3,5,5,5,5,5,5,5,2,3
16,0,2,2,2,5,5,5,5,5,5,2,3
17,2,2,2,5,5,5,5,5,5,5,2,3
18,2,2,2,5,5,5,5,5,5,5,2,3
19,0,0,0,5,5,5,5,9,9,9,3,3
20,0,0,4,4,4,4,4,4,4,4,3,4
21,2,3,3,5,5,7,8,8,7,7,2,1
22,2,2,2,5,5,5,5,5,5,5,2,3
23,2,3,3,3,3,3,3,3,3,3,2,2
24,2,3,3,3,3,3,3,3,10,10,2,5
25,1,1,1,1,1,1,1,1,10,10,4,5
26,2,3,3,3,5,7,6,5,8,8,2,3
27,1,1,1,1,1,1,1,1,1,1,4,5
28,1,1,1,1,1,1,1,1,1,1,4,5
29,1,1,1,1,1,1,1,1,1,1,4,5
30,1,1,4,4,4,4,4,4,9,9,3,5
31,0,0,4,4,4,4,4,4,4,4,3,4
32,0,0,4,4,4,4,4,4,4,4,3,4
33,1,2,2,2,2,2,2,2,2,2,0,5
34,1,3,4,4,4,4,4,4,4,4,3,4
35,2,2,2,2,2,2,2,2,2,2,0,0
36,1,1,1,1,6,6,6,6,6,6,1,1
37,1,1,1,1,1,7,8,8,8,8,4,6
38,1,1,1,1,1,1,8,1,1,1,4,6
39,1,1,1,1,1,1,1,1,1,1,4,6
40,1,1,1,1,1,1,1,1,1,1,4,5
41,1,1,1,1,1,1,1,1,1,1,4,5
42,1,1,1,1,1,1,1,1,1,1,4,6
43,1,1,1,1,1,1,1,1,1,1,4,5
44,1,1,1,1,1,1,1,1,1,1,4,5
45,1,1,1,1,1,1,1,1,1,1,4,6
46,0,0,4,4,4,7,8,8,8,8,4,6
47,99,99,99,99,99,99,99,99,99,99,99,99
48,0,2,2,2,0,2,2,0,4,11,4,3
49,1,1,1,1,1,1,1,1,1,1,4,5
50,1,1,1,1,1,1,1,1,1,1,4,5
51,1,1,1,1,1,1,1,1,1,1,4,5
52,0,0,0,0,2,2,2,2,2,11,0,0
53,1,1,1,1,1,1,1,1,1,1,4,5
54,99,99,99,99,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,1,1,10,4,5
Modularity,0.14234581265211851,0.15398289625579123,0.16562965891916062,0.16959939318544975,0.1813111975430624,0.1672717279325851,0.15839272015882208,0.16755858410535585,0.16064598306861136,0.15651185005399712,0.20391531301544968,0.16205283976201235
NMI,0.43661473301435799,0.53818112003127883,0.65855901307548326,0.6758378319908106,0.79019002217775247,0.74369773869308953,0.72393222019236469,0.80315179668194769,0.74216629047419047,0.72946415386088248,1.0,0.60670200546380726
